Cool sinus function
  0.100000001  0.0998334214
  0.200000003  0.198669329
  0.300000012  0.295520216
  0.400000006  0.389418334
  0.5  0.47942555
  0.600000024  0.564642489
  0.699999988  0.64421767
  0.800000012  0.717356086
  0.900000036  0.783326924
  1.  0.841470957
  1.10000002  0.891207397
  1.20000005  0.932039082
  1.30000007  0.963558197
  1.39999998  0.985449731
  1.5  0.997494996
  1.60000002  0.999573588
  1.70000005  0.991664827
  1.80000007  0.973847628
  1.89999998  0.946300089
  2.  0.909297407
  2.10000014  0.863209307
  2.20000005  0.808496356
  2.29999995  0.745705247
  2.4000001  0.67546314
  2.5  0.598472118
  2.60000014  0.515501261
  2.70000005  0.427379847
  2.79999995  0.334988207
  2.9000001  0.239249229
  3.  0.141120002
  3.10000014  0.0415805206
  3.20000005 -0.0583741926
  3.29999995 -0.157745644
  3.4000001 -0.255541205
  3.5 -0.350783229
  3.60000014 -0.442520559
  3.70000005 -0.529836178
  3.79999995 -0.611857831
  3.9000001 -0.687766254
  4. -0.756802499
  4.0999999 -0.818277061
  4.20000029 -0.871575892
  4.30000019 -0.916166008
  4.4000001 -0.951602101
  4.5 -0.977530122
  4.5999999 -0.993690968
  4.70000029 -0.999923289
  4.80000019 -0.99616462
  4.9000001 -0.982452571
  5. -0.958924294
